Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Label
80,395168,2,0,12,0,6,6,6.0,0.0,BENIGN
53,32073,2,2,92,348,46,46,46.0,0.0,BENIGN
465,25,1,1,0,6,0,0,0.0,0.0,PortScan
53,30502,1,1,58,282,58,58,58.0,0.0,BENIGN
80,119997683,5,3,176,1578,158,0,35.2,68.69643368,BENIGN
53,60398,2,2,76,172,38,38,38.0,0.0,BENIGN
53,24824,2,2,58,232,29,29,29.0,0.0,BENIGN
53,23975,1,1,45,108,45,45,45.0,0.0,BENIGN
53,209,2,2,60,264,30,30,30.0,0.0,BENIGN
53,24010,1,1,53,121,53,53,53.0,0.0,BENIGN
53,23631,1,1,49,65,49,49,49.0,0.0,BENIGN
80,184384,3,6,373,11595,373,0,124.3333333,215.3516504,DoS Hulk
53,30985,2,2,68,250,34,34,34.0,0.0,BENIGN
27496,9291307,1,6,1375,30,1375,1375,1375.0,0.0,BENIGN
443,5449980,6,4,611,153,517,0,101.8333333333,204.305082332,BENIGN
53,254,2,2,90,196,45,45,45.0,0.0,BENIGN
88,385,2,2,348,358,174,174,174.0,0.0,BENIGN
44806,89,1,1,0,0,0,0,0.0,0.0,BENIGN
53,70800,1,1,57,115,57,57,57.0,0.0,BENIGN
443,119989024,26,18,4485,4389,646,0,172.5,265.9507097,BENIGN
53,308354,1,1,45,45,45,45,45.0,0.0,BENIGN
53,60812,1,1,50,103,50,50,50.0,0.0,BENIGN
443,388851,9,9,281,4217,188,0,31.22222222,66.35091894,BENIGN
53527,39,1,1,6,6,6,6,6.0,0.0,Bot
443,259,2,0,0,0,0,0,0.0,0.0,BENIGN
443,131122,12,7,1620,1700,1368,0,135.0,390.519002,BENIGN
48408,48,1,1,0,0,0,0,0.0,0.0,BENIGN
443,160,2,0,12,0,6,6,6.0,0.0,BENIGN
80,61723084,16,13,2421,2883,873,0,151.3125,282.5308759,BENIGN
53,31168,1,1,44,128,44,44,44.0,0.0,BENIGN
53,62129,2,2,74,186,37,37,37.0,0.0,BENIGN
53,158,2,2,90,122,45,45,45.0,0.0,BENIGN
80,98172291,8,5,367,11595,367,0,45.875,129.7540943,DoS Hulk
53,238,2,2,80,376,40,40,40.0,0.0,BENIGN
53,52355,2,2,90,164,45,45,45.0,0.0,BENIGN
443,6867899,15,20,2014,24717,712,0,134.2666667,262.0055797,BENIGN
443,11045212,21,16,6335,11841,1460,0,301.6666666667,563.5609402126,BENIGN
80,115925054,16,14,518,752,434,0,32.375,107.110457,BENIGN
53,305,2,2,76,376,38,38,38.0,0.0,BENIGN
53,50410,4,2,132,122,33,33,33.0,0.0,BENIGN
6488,3,2,0,0,0,0,0,0.0,0.0,BENIGN
80,9433808,4,0,24,0,6,6,6.0,0.0,DDoS
3372,37,1,1,2,6,2,2,2.0,0.0,PortScan
80,5913732,3,1,12,0,6,0,4.0,3.464101615,BENIGN
53,46461,1,1,64,117,64,64,64.0,0.0,BENIGN
1092,52,2,2,4,12,2,2,2.0,0.0,BENIGN
53,69367,2,2,104,314,52,52,52.0,0.0,BENIGN
50247,4777,26,1,55480,0,2920,0,2133.846154,849.3907319,BENIGN
53,47676,1,1,56,174,56,56,56.0,0.0,BENIGN
80,1799075,3,4,26,11607,20,0,8.666666667,10.26320288,DDoS
60927,4,2,1,37,6,31,6,18.5,17.67766953,BENIGN
443,6030343,22,17,568,10436,179,0,25.81818182,55.80632868,BENIGN
2292,83,1,1,6,6,6,6,6.0,0.0,BENIGN
50985,3319895,1,6,6,36,6,6,6.0,0.0,BENIGN
443,36464814,13,10,1265,4340,896,0,97.30769231,247.3039239,BENIGN
389,1109,11,5,92,5820,39,0,8.363636364,15.39657577,BENIGN
53,285749,4,2,176,204,44,44,44.0,0.0,BENIGN
53,24032,2,2,74,262,37,37,37.0,0.0,BENIGN
80,98699765,7,6,377,11595,377,0,53.85714286,142.4926063,DoS Hulk
60443,48,2,0,37,0,31,6,18.5,17.67766953,BENIGN
443,279109,14,10,888,7652,256,0,63.42857143,84.69739283,BENIGN
80,102685546,12,5,1740,11595,290,0,145.0,151.4475607,DoS Hulk
3017,14,1,1,0,6,0,0,0.0,0.0,PortScan
80,115346954,17,16,1130,1741,592,0,66.47058824,173.5605505,BENIGN
57050,35,1,1,6,6,6,6,6.0,0.0,BENIGN
58020,48,2,0,0,0,0,0,0.0,0.0,BENIGN
80,115895385,18,15,896,1958,448,0,49.77777778,144.8746134,BENIGN
80,98439689,5,7,331,11595,319,0,66.2,141.3513353,DoS Hulk
80,98979892,8,4,56,11601,20,0,7.0,5.656854249,DDoS
443,640,3,0,18,0,6,6,6.0,0.0,BENIGN
53,149,2,2,86,198,43,43,43.0,0.0,BENIGN
53,203,2,2,76,332,38,38,38.0,0.0,BENIGN
443,85102,10,5,713,479,469,0,71.3,147.2873608517,BENIGN
53,169,2,2,64,96,32,32,32.0,0.0,BENIGN
443,556184,8,8,2348,937,2005,0,293.5,695.7304486242,BENIGN
53,198578,1,1,52,102,52,52,52.0,0.0,BENIGN
443,60316452,13,13,785,4002,464,0,60.38461538,135.3621922,BENIGN
443,1700668,3,0,0,0,0,0,0.0,0.0,BENIGN
53,233,2,2,60,264,30,30,30.0,0.0,BENIGN
53,47536,1,1,53,118,53,53,53.0,0.0,BENIGN
123,24183,1,1,48,48,48,48,48.0,0.0,BENIGN
53,223023,2,2,56,322,28,28,28.0,0.0,BENIGN
80,362511,4,6,656,11595,328,0,164.0,189.3708883,DoS Hulk
80,4,2,0,0,0,0,0,0.0,0.0,DoS Hulk
58812,3,1,1,6,2,6,6,6.0,0.0,BENIGN
53,147,2,2,70,102,35,35,35.0,0.0,BENIGN
80,99522876,9,5,366,11595,366,0,40.66666667,122.0,DoS Hulk
53,30951,1,1,49,65,49,49,49.0,0.0,BENIGN
443,54519296,75,108,2352,79999,405,0,31.36,100.2442477,BENIGN
52334,140239,5,2,11601,26,8760,0,2320.2,3803.229575,BENIGN
80,2974,6,0,0,0,0,0,0.0,0.0,DoS Hulk
443,318,3,1,18,6,6,6,6.0,0.0,BENIGN
53,607745,1,1,41,93,41,41,41.0,0.0,BENIGN
52290,30,1,1,0,0,0,0,0.0,0.0,BENIGN
42048,2,2,0,0,0,0,0,0.0,0.0,BENIGN
80,78327939,8,4,56,11601,20,0,7.0,5.656854249,DDoS
443,117765053,14,14,954,4237,306,0,68.14285714,93.73190668,BENIGN
443,467072,5,8,972,5924,517,0,194.4,244.6289026,BENIGN
443,12451,1,1,6,6,6,6,6.0,0.0,BENIGN
53,23222,1,1,67,149,67,67,67.0,0.0,BENIGN
53,162,2,2,72,136,36,36,36.0,0.0,BENIGN
80,8086826,4,0,24,0,6,6,6.0,0.0,DDoS
53,204430,1,1,47,155,47,47,47.0,0.0,BENIGN
9876,3,2,0,4,0,2,2,2.0,0.0,BENIGN
443,78893,6,5,1529,3369,874,0,254.8333333,362.6217956,BENIGN
53,60521,1,1,57,161,57,57,57.0,0.0,BENIGN
9040,44,1,1,2,6,2,2,2.0,0.0,PortScan
53,199,2,2,82,182,41,41,41.0,0.0,BENIGN
3389,54,1,1,0,6,0,0,0.0,0.0,PortScan
61019,129,1,1,6,6,6,6,6.0,0.0,BENIGN
53,23382,1,1,51,67,51,51,51.0,0.0,BENIGN
443,9117828,4,2,0,0,0,0,0.0,0.0,BENIGN
53,199,2,2,46,46,23,23,23.0,0.0,BENIGN
53,265,2,2,90,122,45,45,45.0,0.0,BENIGN
443,5138742,17,27,971,34167,517,0,57.11764706,148.7627651,BENIGN
443,61967815,762,933,8379,1997316,391,0,10.99606299,30.67919266,BENIGN
54553,163,1,1,0,0,0,0,0.0,0.0,BENIGN
80,98083900,5,7,381,11595,369,0,76.2,163.7076663,DoS Hulk
3000,48,2,0,4,0,2,2,2.0,0.0,BENIGN
443,115573,13,16,1104,21994,517,0,84.9230769231,184.567720877,BENIGN
443,66418869,15,14,793,4175,408,0,52.86666667,112.7771929,BENIGN
7244,5489,2,1,38,0,38,0,19.0,26.87005769,BENIGN
52948,2,2,0,0,0,0,0,0.0,0.0,BENIGN
53,342,2,2,64,166,32,32,32.0,0.0,BENIGN
56797,204,2,0,12,0,6,6,6.0,0.0,BENIGN
80,4069,2,0,0,0,0,0,0.0,0.0,BENIGN
53,47120,2,2,86,286,43,43,43.0,0.0,BENIGN
57573,278,3,1,43,6,31,6,14.3333333333,14.4337567297,BENIGN
80,2552952,4,0,24,0,6,6,6.0,0.0,DDoS
53,23679,1,1,56,156,56,56,56.0,0.0,BENIGN
50652,16,1,1,6,6,6,6,6.0,0.0,BENIGN
443,34618,1,3,0,76,0,0,0.0,0.0,BENIGN
80,36728,1,1,0,0,0,0,0.0,0.0,BENIGN
443,104319,1,1,0,0,0,0,0.0,0.0,BENIGN
1024,20,1,1,0,6,0,0,0.0,0.0,PortScan
53,23572,1,1,40,56,40,40,40.0,0.0,BENIGN
61949,3,2,0,12,0,6,6,6.0,0.0,BENIGN
80,51647,3,0,0,0,0,0,0.0,0.0,BENIGN
53,23111,1,1,43,59,43,43,43.0,0.0,BENIGN
53,85599,2,2,66,316,33,33,33.0,0.0,BENIGN
80,1869442,3,5,26,11607,20,0,8.666666667,10.26320288,DDoS
52122,54,1,1,6,6,6,6,6.0,0.0,BENIGN
53,25397,2,2,96,218,48,48,48.0,0.0,BENIGN
443,84687892,11,9,113,54,53,6,10.27272727,14.1710332,BENIGN
53,75978,2,2,90,326,45,45,45.0,0.0,BENIGN
59450,3,2,0,12,0,6,6,6.0,0.0,BENIGN
56744,55,1,1,0,0,0,0,0.0,0.0,BENIGN
53,121108,2,2,82,138,41,41,41.0,0.0,BENIGN
58679,59,1,1,0,0,0,0,0.0,0.0,BENIGN
443,3365258,4,7,283,194,226,0,70.75,105.9728739,BENIGN
38601,61,1,1,0,0,0,0,0.0,0.0,BENIGN
47584,230,2,0,0,0,0,0,0.0,0.0,BENIGN
5355,420556,26,0,2340,0,90,90,90.0,0.0,BENIGN
53,187652,4,2,96,104,24,24,24.0,0.0,BENIGN
443,2232459,2,0,74,0,37,37,37.0,0.0,BENIGN
80,9373780,4,0,24,0,6,6,6.0,0.0,DDoS
51220,184,1,1,0,0,0,0,0.0,0.0,BENIGN
53,31101,1,1,47,79,47,47,47.0,0.0,BENIGN
53,178,2,2,64,120,32,32,32.0,0.0,BENIGN
53,195,2,2,74,154,37,37,37.0,0.0,BENIGN
443,64983727,17,14,768,5663,447,0,45.17647059,116.9974547,BENIGN
80,116370721,7,0,0,0,0,0,0.0,0.0,DoS Hulk
80,66534,3,4,433,2279,427,0,144.3333333,244.8148961,BENIGN
53,27304,2,2,64,180,32,32,32.0,0.0,BENIGN
443,111463011,19,17,752,2360,398,0,39.57894737,99.20535144,BENIGN
80,6083485,4,4,198,1611,198,0,49.5,99.0,BENIGN
88,965,7,4,2776,2830,1388,0,396.5714286,677.2746506,BENIGN
53,641783,2,2,74,240,37,37,37.0,0.0,BENIGN
7101,50,3,0,43,0,31,6,14.33333333,14.43375673,BENIGN
80,100110837,10,7,1316,11595,329,0,131.6,169.8948695,DoS Hulk
53,336,2,2,76,242,38,38,38.0,0.0,BENIGN
80,1385459,3,6,26,11601,20,0,8.666666667,10.26320288,DDoS
53979,138,1,1,6,6,6,6,6.0,0.0,BENIGN
443,4,2,0,31,0,31,0,15.5,21.92031022,BENIGN
80,85628173,6,7,365,11595,347,0,60.83333333,140.2232743,DoS Hulk
80,17532674,7,6,356,11632,356,0,50.85714286,134.5553524,DoS GoldenEye
57108,98,1,1,0,0,0,0,0.0,0.0,BENIGN
53,31273,1,1,56,136,56,56,56.0,0.0,BENIGN
443,206284,5,4,247,146,229,0,49.4,100.4330623,BENIGN
53,30805,2,2,62,118,31,31,31.0,0.0,BENIGN
54432,228,2,1,31,6,31,0,15.5,21.92031022,BENIGN
53,2938701,4,4,150,294,44,31,37.5,7.505553499,BENIGN
53,23741,1,1,95,179,95,95,95.0,0.0,BENIGN
53,3117500,6,6,204,570,34,34,34.0,0.0,BENIGN
53,49242,1,1,80,158,80,80,80.0,0.0,BENIGN
443,111142212,12,12,72,0,6,6,6.0,0.0,BENIGN
53,76935,1,1,56,164,56,56,56.0,0.0,BENIGN
53,30728,2,2,108,238,54,54,54.0,0.0,BENIGN
80,74059,3,0,0,0,0,0,0.0,0.0,BENIGN
443,14714,1,1,6,6,6,6,6.0,0.0,BENIGN
54750,71,1,1,0,0,0,0,0.0,0.0,BENIGN
53,183,2,2,58,166,29,29,29.0,0.0,BENIGN
80,23976364,5,0,30,0,6,6,6.0,0.0,DDoS
443,3462221,5,1,117,41,45,0,23.4,21.9613296501,BENIGN
53,50137,2,2,70,154,35,35,35.0,0.0,BENIGN
53,506,1,1,48,104,48,48,48.0,0.0,BENIGN
80,63,2,0,0,0,0,0,0.0,0.0,BENIGN
443,5819836,8,7,1120,2625,794,0,140.0,275.0355821,BENIGN
55428,3,2,0,12,0,6,6,6.0,0.0,BENIGN
80,39014,4,0,24,0,6,6,6.0,0.0,DDoS
62886,101,1,1,6,6,6,6,6.0,0.0,BENIGN
61340,52724,2,1,0,0,0,0,0.0,0.0,BENIGN
80,98942707,6,7,720,11595,354,0,120.0,181.275481,DoS Hulk
443,1919902,1,1,6,31,6,6,6.0,0.0,BENIGN
80,3821936,4,0,24,0,6,6,6.0,0.0,DDoS
53,996,2,2,74,154,37,37,37.0,0.0,BENIGN
43643,3,2,0,0,0,0,0,0.0,0.0,BENIGN
80,81091654,9,5,62,11601,20,0,6.888888889,5.30199124,DDoS
443,119491848,142,176,4059,231092,484,0,28.5845070423,101.7643114133,BENIGN
53,53607,2,2,74,202,37,37,37.0,0.0,BENIGN
49056,3,2,0,0,0,0,0,0.0,0.0,BENIGN
53,50436,2,2,86,204,43,43,43.0,0.0,BENIGN
53,47967,1,1,43,91,43,43,43.0,0.0,BENIGN
53,92253,1,1,41,183,41,41,41.0,0.0,BENIGN
58818,85164062,7,5,11595,395,5792,0,1656.428571,2120.732252,BENIGN
443,549,4,0,106,0,69,0,26.5,33.2716095192,BENIGN
51971,92,1,1,6,6,6,6,6.0,0.0,BENIGN
53,49858,1,1,62,78,62,62,62.0,0.0,BENIGN
1154,102,2,2,4,12,2,2,2.0,0.0,BENIGN
1310,48,1,1,2,6,2,2,2.0,0.0,PortScan
80,12002670,5,0,30,0,6,6,6.0,0.0,DDoS
51485,9287,2,0,6,0,6,0,3.0,4.242640687,BENIGN
80,22661,1,1,0,6,0,0,0.0,0.0,BENIGN
53,1017,2,2,66,140,33,33,33.0,0.0,BENIGN
53,210,2,2,104,220,52,52,52.0,0.0,BENIGN
53,31160,2,2,84,310,42,42,42.0,0.0,BENIGN
443,4,2,0,31,0,31,0,15.5,21.92031022,BENIGN
443,116584210,19,16,1010,9537,222,0,53.15789474,79.07680033,BENIGN
53,206,2,2,98,154,49,49,49.0,0.0,BENIGN
443,6162482,12,12,1297,681,517,0,108.0833333,181.9887401,BENIGN
53,49220,1,1,53,106,53,53,53.0,0.0,BENIGN
51371,88,1,1,0,0,0,0,0.0,0.0,BENIGN
53,163,2,2,74,106,37,37,37.0,0.0,BENIGN
50280,1926,3,1,43,6,31,6,14.3333333333,14.4337567297,BENIGN
53,31060,2,2,74,138,37,37,37.0,0.0,BENIGN
55529,16,1,1,6,6,6,6,6.0,0.0,BENIGN
443,91,2,0,12,0,6,6,6.0,0.0,BENIGN
8093,43,1,1,2,6,2,2,2.0,0.0,PortScan
443,2380199,10,9,1062,7121,741,0,106.2,233.3803762,BENIGN
443,8214945,9,10,3487,5021,1589,0,387.4444444444,676.6169727237,BENIGN
1277,48,2,0,4,0,2,2,2.0,0.0,BENIGN
53,164,2,2,70,102,35,35,35.0,0.0,BENIGN
80,155,2,0,0,0,0,0,0.0,0.0,BENIGN
53,146,2,2,68,220,34,34,34.0,0.0,BENIGN
80,117865876,18,15,898,1826,449,0,49.88888889,145.1979942,BENIGN
80,142926,2,0,12,0,6,6,6.0,0.0,BENIGN
80,98694709,6,6,361,11595,343,0,60.16666667,138.5906442,DoS Hulk
53,137,2,2,88,164,44,44,44.0,0.0,BENIGN
5226,49,2,0,4,0,2,2,2.0,0.0,BENIGN
55130,53,1,1,0,0,0,0,0.0,0.0,BENIGN
443,61192955,14,13,872,4150,498,0,62.28571429,137.3571586,BENIGN
53,23730,2,2,76,238,38,38,38.0,0.0,BENIGN
1216,23,1,1,2,6,2,2,2.0,0.0,PortScan
80,15539641,9,2,54,1466,6,6,6.0,0.0,BENIGN
443,115388193,24,20,1806,6636,1133,0,75.25,237.2425377944,BENIGN
80,117845794,20,17,1386,5892,430,0,69.3,155.4663950827,BENIGN
50286,100099,2,2,0,12,0,0,0.0,0.0,BENIGN
443,99023,20,26,2126,43937,1527,0,106.3,353.6714354,BENIGN
443,151,2,0,0,0,0,0,0.0,0.0,BENIGN
443,119074484,498,714,4226,1174882,923,0,8.485943775,77.87786963,BENIGN
443,659106,17,12,1068,7251,473,0,62.8235294118,122.4950179059,BENIGN
53,238,2,2,86,222,43,43,43.0,0.0,BENIGN
53,167,2,2,66,122,33,33,33.0,0.0,BENIGN
80,9864628,47,73,3242,110909,758,0,68.9787234,202.9102917,BENIGN
53,28294,2,2,60,344,30,30,30.0,0.0,BENIGN
53,167,2,2,88,188,44,44,44.0,0.0,BENIGN
443,116160184,29,34,3928,23333,1432,0,135.4482758621,373.8020471364,BENIGN
53,31589,2,2,80,202,40,40,40.0,0.0,BENIGN
53,126681,1,1,42,135,42,42,42.0,0.0,BENIGN
80,15243,2,2,12,0,6,6,6.0,0.0,DoS Hulk
111,1,2,0,4,0,2,2,2.0,0.0,BENIGN
80,5214676,4,4,305,385,305,0,76.25,152.5,BENIGN
443,63073160,7,2,176,82,45,6,25.14285714,18.39772243,BENIGN
25839,7608713,1,5,6,30,6,6,6.0,0.0,BENIGN
53,372903,4,2,152,310,38,38,38.0,0.0,BENIGN
443,4997327,2,1,37,6,31,6,18.5,17.6776695297,BENIGN
49242,3,2,0,12,0,6,6,6.0,0.0,BENIGN
51493,1,1,1,0,0,0,0,0.0,0.0,BENIGN
443,118206763,14,11,543,4755,186,0,38.78571429,60.54518792,BENIGN
53,253,2,2,96,180,48,48,48.0,0.0,BENIGN
80,400835,3,3,575,12,569,0,191.6666667,326.7940228,BENIGN
53,151545,1,1,43,329,43,43,43.0,0.0,BENIGN
443,118211554,17,14,906,11547,233,0,53.2941176471,76.8316053993,BENIGN
53,30579,2,2,82,138,41,41,41.0,0.0,BENIGN
53,91373,4,2,176,352,44,44,44.0,0.0,BENIGN
50784,114,1,1,6,6,6,6,6.0,0.0,BENIGN
53,106598185,2,2,105,208,58,47,52.5,7.7781745931,BENIGN
1500,57,2,2,4,12,2,2,2.0,0.0,BENIGN
5284,121,1,1,0,0,0,0,0.0,0.0,BENIGN
443,2807009,6,5,275,176,224,0,45.83333333,89.63574436,BENIGN
21,144446,20,25,176,438,43,0,8.8,12.6806939873,BENIGN
80,32821,3,5,26,11601,20,0,8.666666667,10.26320288,DDoS
53,347,2,2,86,194,43,43,43.0,0.0,BENIGN
53,142,2,2,90,122,45,45,45.0,0.0,BENIGN
80,3,2,0,0,0,0,0,0.0,0.0,DoS Hulk
53,189,2,2,130,226,65,65,65.0,0.0,BENIGN
443,49538818,17,16,6880,5546,2896,0,404.7058824,794.6356685,BENIGN
53,858,2,2,76,122,38,38,38.0,0.0,BENIGN
80,185445,3,6,361,11595,361,0,120.3333333,208.4234472,DoS Hulk
58008,577,1,1,0,0,0,0,0.0,0.0,BENIGN
443,5712959,8,9,1536,4483,645,0,192.0,274.7149172,BENIGN
53,180835,4,4,116,236,29,29,29.0,0.0,BENIGN
443,13499703,7,9,1191,4401,629,0,170.1428571429,241.8253009726,BENIGN
53,69257,2,2,66,316,33,33,33.0,0.0,BENIGN
2500,29,1,1,0,6,0,0,0.0,0.0,PortScan
53,188,2,2,84,228,42,42,42.0,0.0,BENIGN
443,626975,9,8,790,3601,357,0,87.77777778,134.0184481,BENIGN
56098,89,1,1,0,0,0,0,0.0,0.0,BENIGN
80,84726107,7,6,306,11595,300,0,43.71428571,113.0334969,DoS Hulk
58211,48,2,0,37,0,37,0,18.5,26.1629509,BENIGN
443,1090985,6,7,474,644,314,0,79.0,130.3088638581,BENIGN
49312,208,2,1,31,6,31,0,15.5,21.92031022,BENIGN
53,242,2,2,46,46,23,23,23.0,0.0,BENIGN
53,30784,1,1,48,110,48,48,48.0,0.0,BENIGN
80,5299818,4,0,24,0,6,6,6.0,0.0,DDoS
53,171,2,2,62,94,31,31,31.0,0.0,BENIGN
80,70760,3,0,0,0,0,0,0.0,0.0,BENIGN
53,3470897,2,2,107,195,56,51,53.5,3.535533906,BENIGN
53,207,2,2,60,414,30,30,30.0,0.0,BENIGN
443,289121,6,8,474,644,314,0,79.0,130.3088638581,BENIGN
80,4,2,0,0,0,0,0,0.0,0.0,DoS Hulk
80,11682248,8,5,341,11632,341,0,42.625,120.5617062,DoS GoldenEye
443,3,2,0,0,0,0,0,0.0,0.0,BENIGN
80,84468076,5,7,340,11595,328,0,68.0,145.3753762,DoS Hulk
53,30979,4,2,144,284,36,36,36.0,0.0,BENIGN
53,50764,2,2,90,196,45,45,45.0,0.0,BENIGN
53,32204,2,2,80,168,40,40,40.0,0.0,BENIGN
443,6980790,13,10,2902,8149,1122,0,223.2307692,377.6528728,BENIGN
53,235418,1,1,43,132,43,43,43.0,0.0,BENIGN
80,5116864,3,1,0,0,0,0,0.0,0.0,BENIGN
53,175,2,2,72,246,36,36,36.0,0.0,BENIGN
53,23563,1,1,50,111,50,50,50.0,0.0,BENIGN
53,338038,4,4,154,250,40,37,38.5,1.7320508076,BENIGN
443,66769962,16,16,3202,5426,1475,0,200.125,475.668915,BENIGN
80,83085218,6,7,389,11595,371,0,64.83333333,150.019221,DoS Hulk
52254,3,2,0,0,0,0,0,0.0,0.0,BENIGN
57355,65,1,1,0,0,0,0,0.0,0.0,BENIGN
53,194,2,2,92,248,46,46,46.0,0.0,BENIGN
443,12085424,23,26,2567,12892,1082,0,111.6086957,262.8602704,BENIGN
80,5,2,0,0,0,0,0,0.0,0.0,DoS Hulk
443,61364231,13,14,902,5580,527,0,69.38461538,149.8246411,BENIGN
443,205722,33,45,1400,88262,597,0,42.4242424242,141.4896264535,BENIGN
443,4086802,5,1,123,46,46,0,24.6,23.27659769,BENIGN
80,8708799,4,0,24,0,6,6,6.0,0.0,DDoS
443,116377010,83,197,4139,298836,787,0,49.8674698795,179.9499775401,BENIGN
53,206,2,2,82,114,41,41,41.0,0.0,BENIGN
80,303928,3,5,26,11607,20,0,8.666666667,10.26320288,DDoS
53,162,2,2,96,128,48,48,48.0,0.0,BENIGN
53,201,2,2,80,112,40,40,40.0,0.0,BENIGN
53,242,2,2,64,258,32,32,32.0,0.0,BENIGN
80,5459953,3,1,12,0,6,0,4.0,3.464101615,BENIGN
443,83,1,2,0,0,0,0,0.0,0.0,BENIGN
53,60988,2,2,72,104,36,36,36.0,0.0,BENIGN
53,31041,4,2,136,422,34,34,34.0,0.0,BENIGN
80,3201881,5,0,30,0,6,6,6.0,0.0,DDoS
57599,35,1,1,6,6,6,6,6.0,0.0,BENIGN
53,162,2,2,88,120,44,44,44.0,0.0,BENIGN
53,47598,2,2,70,126,35,35,35.0,0.0,BENIGN
53,90332,1,1,41,143,41,41,41.0,0.0,BENIGN
443,10490098,13,13,12189,6091,4380,0,937.6153846,1530.509639,BENIGN
53,47216,2,2,58,226,29,29,29.0,0.0,BENIGN
80,113114,4,5,430,2266,430,0,107.5,215.0,BENIGN
54387,4,3,0,31,0,31,0,10.33333333,17.89785834,BENIGN
443,15,2,0,12,0,6,6,6.0,0.0,BENIGN
4000,41,1,1,2,6,2,2,2.0,0.0,PortScan
20222,67,1,1,0,6,0,0,0.0,0.0,PortScan
50732,6,1,1,6,6,6,6,6.0,0.0,BENIGN
50873,3,2,0,12,0,6,6,6.0,0.0,BENIGN
53273,62,1,2,6,12,6,6,6.0,0.0,BENIGN
443,5960464,8,6,378,3688,197,0,47.25,73.61046121,BENIGN
54306,36,1,1,6,6,6,6,6.0,0.0,BENIGN
53,161705,2,2,72,336,36,36,36.0,0.0,BENIGN
80,299120,3,0,0,0,0,0,0.0,0.0,BENIGN
40902,3,2,0,0,0,0,0,0.0,0.0,BENIGN
80,100138481,8,6,56,11607,20,0,7.0,5.656854249,DDoS
443,143933,10,5,1000,975,757,0,100.0,235.4362381245,BENIGN
53,27935,2,2,66,140,33,33,33.0,0.0,BENIGN
443,2041648,9,11,703,3950,267,0,78.11111111,103.3022803,BENIGN
80,123927,1,1,6,6,6,6,6.0,0.0,BENIGN
36844,110,1,2,0,0,0,0,0.0,0.0,BENIGN
53,187888,1,1,40,56,40,40,40.0,0.0,BENIGN
22,1401295,39,46,2646,7062,408,0,67.84615385,101.8134358,BENIGN
443,861293,10,7,535,3362,198,0,53.5,81.52606945,BENIGN
80,6944842,5,0,30,0,6,6,6.0,0.0,DDoS
80,1826137,1,2,0,0,0,0,0.0,0.0,BENIGN
80,5460462,3,1,0,0,0,0,0.0,0.0,Web Attack � XSS
53,47159,2,2,80,176,40,40,40.0,0.0,BENIGN
80,98314801,6,7,434,11595,416,0,72.33333333,168.3872521,DoS Hulk
53790,36,1,1,0,0,0,0,0.0,0.0,BENIGN
53,31195,2,2,70,326,35,35,35.0,0.0,BENIGN
53,23804,1,1,78,94,78,78,78.0,0.0,BENIGN
443,118467697,109,160,2838,231705,208,0,26.03669725,45.49357435,BENIGN
